avgx,avgy,avgz,avgTf,label
0.5001255,-0.8597397,-0.0720742,0.997267,MRT
0.4977755,-0.8607998,-0.0734553,0.997141,MRT
0.4840881,-0.867607,-0.0402306,0.994704,MRT
0.468577,-0.8759644,-0.0031916,0.993644,MRT
0.4711882,-0.8720296,0.0087675,0.991618,MRT
0.4699394,-0.8763582,0.0108913,0.994616,MRT
0.4735623,-0.8716236,0.0088691,0.992194,MRT
0.4725211,-0.8721514,0.0081133,0.992328,MRT
0.4718829,-0.8682971,0.0125256,0.988604,MRT
0.4651315,-0.8680713,0.0161956,0.985093,MRT
0.4633945,-0.8739019,0.0304721,0.989732,MRT
0.4653461,-0.8762842,0.036637,0.992907,MRT
0.4726129,-0.8712545,0.0394532,0.992032,MRT
0.4654641,-0.8776883,0.0347777,0.994127,MRT
0.4565757,-0.884381,0.0291646,0.995791,MRT
0.451772,-0.8921481,0.0170248,1.00029,MRT
0.4585939,-0.8873271,0.0080082,0.999011,MRT
0.4580044,-0.8872502,0.0012424,0.998792,MRT
0.4756802,-0.8732275,0.0006505,0.994724,MRT
0.4812705,-0.8689218,0.0007818,0.993481,MRT
0.4844815,-0.8695453,0.0024891,0.995623,MRT
0.4822737,-0.8678504,-0.0007362,0.993088,MRT
0.4833009,-0.8697159,-0.0011567,0.995191,MRT
0.4819329,-0.8691177,-0.0076621,0.994091,MRT
0.481061,-0.8699716,-0.0158509,0.994564,MRT
0.480803,-0.8668328,-0.0159556,0.991687,MRT
0.4745429,-0.8667076,-0.0010251,0.988439,MRT
0.4700551,-0.870568,0.0094162,0.989717,MRT
0.4665837,-0.8787117,0.016091,0.995265,MRT
0.4638918,-0.8790344,0.0176919,0.994236,MRT
0.4685674,-0.8836097,0.0152123,1.000501,MRT
0.4688808,-0.883543,0.0038366,1.000388,MRT
0.4731079,-0.8786843,-0.0046286,0.998201,MRT
0.474862,-0.8747823,-0.0111911,0.995592,MRT
0.4741714,-0.8723222,-0.0179885,0.993402,MRT
0.4743666,-0.8741324,-0.0234752,0.995153,MRT
0.4834104,-0.8663443,-0.0164332,0.992277,MRT
0.4958027,-0.8595408,-0.0073695,0.992436,MRT
0.5006167,-0.8583169,-0.0031787,0.993743,MRT
0.5036852,-0.8559522,-0.0020366,0.99324,MRT
0.5134282,-0.8494275,0.0069418,0.99271,MRT
0.523471,-0.8444575,0.015739,0.993911,MRT
0.5285021,-0.8425579,0.0172276,0.99486,MRT
0.5312304,-0.8455004,0.0156126,0.998832,MRT
0.536473,-0.8414867,0.008235,0.998204,MRT
0.538091,-0.8373733,-2.01E-05,0.995519,MRT
0.5394589,-0.8336226,-0.0018155,0.993104,MRT
0.5396132,-0.8345135,-0.0047577,0.993953,MRT
0.535887,-0.8305875,-0.0031863,0.988673,MRT
0.5294358,-0.8332015,0.0031218,0.987366,MRT
0.525106,-0.8371558,0.0129329,0.988495,MRT
0.5193066,-0.8439494,0.0262316,0.991434,MRT
0.5188088,-0.8471571,0.0341562,0.994197,MRT
0.5178247,-0.8481678,0.0320576,0.994478,MRT
0.523182,-0.8456275,0.0329893,0.995122,MRT
0.5428555,-0.8323305,0.0268112,0.994432,MRT
0.5251709,-0.8437186,0.0219706,0.994285,MRT
0.5073853,-0.8534865,0.0279467,0.993516,MRT
0.5052686,-0.8605848,0.0282221,0.998482,MRT
0.5032095,-0.8637704,0.0128855,0.99987,MRT
0.442354,-0.896206,-0.0180163,0.99987,MRT
0.4313835,-0.9019027,-0.02784,1.000517,MRT
0.4711124,-0.8777116,-0.0403178,0.997169,MRT
0.4721826,-0.8723092,-0.0554405,0.993604,MRT
0.4516961,-0.8827679,-0.0642259,0.993871,MRT
0.4579002,-0.878311,-0.0898309,0.994736,MRT
0.4630733,-0.8753769,-0.0947857,0.994984,MRT
0.4530347,-0.8753272,-0.0440492,0.986943,MRT
0.4243482,-0.8945873,0.0551485,0.992009,MRT
0.4418245,-0.8873975,0.04889,0.992582,MRT
0.4447339,-0.8900928,0.041464,0.99593,MRT
0.4443277,-0.8908075,0.0476375,0.996693,MRT
0.4478755,-0.888237,0.0419857,0.995674,MRT
0.4617435,-0.8801857,0.0179366,0.994206,MRT
0.4615265,-0.8805628,0.0167565,0.994385,MRT
0.4734067,-0.873267,0.0018297,0.993478,MRT
0.4864935,-0.8653149,-0.003174,0.992899,MRT
0.4999841,-0.8570508,-0.0187937,0.992519,MRT
0.5254377,-0.8415627,-0.0165047,0.992562,MRT
0.5220639,-0.843388,-0.0272116,0.99309,MRT
0.4588455,-0.8743999,-0.0836841,0.992405,MRT
0.4575416,-0.8806275,-0.0792145,0.997387,MRT
-0.253007071,0.240405051,0.984621212,1.046333333,MRT
0.162444,-0.745788,-0.397648,0.89707,MRT
-0.061636,-0.636918,-0.721741,0.96487,MRT
-0.073692,-0.63295,-0.742157,0.97893,MRT
-0.083463,-0.639936,-0.746864,0.98744,MRT
-0.079193,-0.647343,-0.733421,0.9821,MRT
-0.088954,-0.676009,-0.745281,1.01049,MRT
-0.086833,-0.666547,-0.715604,0.98207,MRT
-0.083677,-0.727775,-0.680961,1.00037,MRT
-0.060756,-0.71938,-0.638548,0.96461,MRT
-0.049472,-0.754775,-0.643683,0.99351,MRT
-0.100072,-0.77234,-0.610753,0.99022,MRT
-0.081606,-0.759111,-0.647796,1.00174,MRT
-0.090475,-0.730645,-0.625077,0.96715,MRT
-0.083058,-0.737202,-0.670816,1.00055,MRT
-0.077227,-0.703033,-0.675652,0.97848,MRT
-0.076978,-0.706066,-0.702098,0.99978,MRT
-0.077225,-0.724365,-0.681651,0.99826,MRT
-0.127282,-0.709001,-0.677449,0.98942,MRT
-0.215538,-0.713022,-0.690727,1.01628,MRT
-0.13859,-0.716253,-0.672101,0.99204,MRT
-0.056268,-0.690675,-0.676903,0.9689,MRT
-0.094242,-0.697492,-0.701013,0.99365,MRT
-0.092803,-0.710443,-0.696114,0.99909,MRT
-0.088135,-0.712517,-0.690313,0.99632,MRT
-0.086155,-0.676992,-0.721161,0.99305,MRT
-0.092138,-0.663526,-0.72361,0.9865,MRT
-0.10151,-0.70827,-0.730494,1.02273,MRT
-0.082058,-0.692505,-0.692714,0.98307,MRT
-0.086318,-0.710735,-0.695541,0.99847,MRT
-0.088436,-0.690785,-0.702028,0.98898,MRT
-0.089651,-0.701872,-0.699429,0.99509,MRT
-0.17502,-0.705044,-0.683893,0.99783,MRT
-0.205271,-0.702204,-0.688105,1.00437,MRT
-0.143094,-0.70925,-0.688633,0.99891,MRT
-0.127659,-0.707059,-0.688457,0.99512,MRT
-0.087255,-0.707507,-0.692213,0.99363,MRT
-0.085849,-0.708698,-0.689303,0.9923,MRT
-0.086906,-0.710369,-0.684616,0.99037,MRT
-0.086336,-0.710212,-0.689826,0.99385,MRT
-0.087236,-0.706811,-0.691008,0.99226,MRT
-0.086247,-0.708608,-0.688812,0.99193,MRT
-0.086903,-0.706772,-0.69166,0.99271,MRT
-0.087058,-0.708123,-0.690841,0.99307,MRT
-0.085848,-0.709619,-0.690113,0.99358,MRT
-0.086606,-0.708084,-0.690584,0.9928,MRT
-0.086445,-0.708574,-0.691171,0.99363,MRT
-0.086244,-0.709052,-0.690068,0.99314,MRT
-0.072806,-0.708926,-0.692557,0.99374,MRT
0.024816,-0.710693,-0.697541,0.99612,MRT
0.013971,-0.707341,-0.709164,1.00178,MRT
-0.046371,-0.721665,-0.699606,1.00624,MRT
-0.094704,-0.692405,-0.674384,0.97127,MRT
-0.101005,-0.716081,-0.705873,1.01059,MRT
-0.086428,-0.686186,-0.692698,0.97894,MRT
-0.096901,-0.701388,-0.728914,1.01636,MRT
-0.089457,-0.698031,-0.716347,1.00434,MRT
0.003054,-0.700708,-0.7096,0.99738,MRT
-0.11291,-0.719022,-0.676852,0.99411,MRT
